Unit level,Unit name,Eligible,Outcome,Mothers only,Mothers only %,Mixed feed ,Mixed feed %,Other feed ,Other feed %,Missing ,Missing % ,Any milk ,Any milk % 
2,Peterborough City Hospital,68,68,20,29.4,35,51.5,13,19.1,0,0,55,80.9
2,Pinderfields General Infirmary (Pontefract),90,90,22,24.4,46,51.1,22,24.4,0,0,68,75.6
2,Poole General Hospital,68,68,18,26.5,38,55.9,12,17.6,0,0,56,82.4
2,Prince Charles Hospital,18,18,3,16.7,6,33.3,9,50,0,0,9,50
2,Princess Alexandra Hospital,52,52,10,19.2,33,63.5,9,17.3,0,0,43,82.7
2,"Princess Royal Hospital, Telford",67,67,9,13.4,46,68.7,12,17.9,0,0,55,82.1
2,"Princess Royal University Hospital, Farnborough",,,,,,,,,,,,
2,"Queen Elizabeth Hospital, King's Lynn",35,35,10,28.6,19,54.3,6,17.1,0,0,29,82.9
2,"Queen Elizabeth Hospital, Woolwich ",44,44,13,29.5,19,43.2,12,27.3,0,0,32,72.7
2,"Queen's Hospital, Romford",91,91,12,13.2,50,54.9,29,31.9,0,0,62,68.1
2,"Raigmore Hospital, Inverness",31,31,10,32.3,12,38.7,9,29,0,0,22,71
2,Rotherham District General Hospital,39,39,6,15.4,28,71.8,5,12.8,0,0,34,87.2
2,Royal Albert Edward Infirmary,38,38,10,26.3,21,55.3,7,18.4,0,0,31,81.6
2,"Royal Alexandra Hospital, Paisley",35,35,2,5.7,13,37.1,20,57.1,0,0,15,42.9
2,Royal Berkshire Hospital,51,51,10,19.6,33,64.7,8,15.7,0,0,43,84.3
2,Royal Cornwall Hospital,33,33,6,18.2,24,72.7,3,9.1,0,0,30,90.9
2,Royal Derby Hospital,131,131,33,25.2,62,47.3,36,27.5,0,0,95,72.5
2,Royal Devon & Exeter Hospital,59,59,7,11.9,41,69.5,11,18.6,0,0,48,81.4
2,Royal Hampshire County Hospital,29,29,2,6.9,20,69,7,24.1,0,0,22,75.9
2,Royal Lancaster Infirmary,31,31,6,19.4,17,54.8,8,25.8,0,0,23,74.2
2,Royal United Hospital,78,78,8,10.3,61,78.2,9,11.5,0,0,69,88.5
2,Russell's Hall Hospital,72,71,12,16.9,40,56.3,19,26.8,1,1.4,52,73.2
2,Salisbury District Hospital,20,20,2,10,13,65,5,25,0,0,15,75
2,Scunthorpe General Hospital,42,42,5,11.9,32,76.2,5,11.9,0,0,37,88.1
2,Southend Hospital,25,25,5,20,12,48,8,32,0,0,17,68
2,St Helier Hospital,43,43,12,27.9,25,58.1,6,14,0,0,37,86
2,"St Mary's Hospital, London",118,118,34,28.8,76,64.4,8,6.8,0,0,110,93.2
2,St Richard's Hospital,19,19,4,21.1,11,57.9,4,21.1,0,0,15,78.9
2,Stepping Hill Hospital,43,43,8,18.6,25,58.1,10,23.3,0,0,33,76.7
2,Stoke Mandeville Hospital,55,55,7,12.7,35,63.6,13,23.6,0,0,42,76.4
2,Tameside General Hospital,40,40,18,45,14,35,8,20,0,0,32,80
2,Tunbridge Wells Hospital,84,84,26,31,41,48.8,17,20.2,0,0,67,79.8
2,University Hospital Lewisham,56,56,7,12.5,44,78.6,5,8.9,0,0,51,91.1
2,"Victoria Hospital, Blackpool",43,43,8,18.6,17,39.5,18,41.9,0,0,25,58.1
2,Warrington Hospital,43,43,9,20.9,26,60.5,8,18.6,0,0,35,81.4
2,Watford General Hospital,43,41,5,12.2,34,82.9,2,4.9,2,4.7,39,95.1
2,Wexham Park Hospital,53,52,7,13.5,34,65.4,11,21.2,1,1.9,41,78.8
2,Whipps Cross University Hospital,,,,,,,,,,,,
2,Whiston Hospital,44,44,12,27.3,15,34.1,17,38.6,0,0,27,61.4
2,Whittington Hospital,62,62,14,22.6,35,56.5,13,21,0,0,49,79
2,Worcestershire Royal Hospital,85,84,5,6,59,70.2,20,23.8,1,1.2,64,76.2
2,Wythenshawe Hospital,77,77,13,16.9,49,63.6,15,19.5,0,0,62,80.5
2,York District Hospital,62,62,9,14.5,41,66.1,12,19.4,0,0,50,80.6
3,Aberdeen Maternity Hospital,73,73,30,41.1,29,39.7,14,19.2,0,0,59,80.8
3,Alder Hey Children's Hospital,5,5,0,0,3,60,2,40,0,0,3,60
3,Arrowe Park Hospital,89,87,26,29.9,48,55.2,13,14.9,2,2.2,74,85.1
3,Birmingham Heartlands Hospital,150,150,69,46,64,42.7,17,11.3,0,0,133,88.7
3,Birmingham Women's Hospital,179,175,39,22.3,93,53.1,43,24.6,4,2.2,132,75.4
3,Bradford Royal Infirmary,136,136,38,27.9,75,55.1,23,16.9,0,0,113,83.1
3,Chelsea & Westminster Hospital,137,137,61,44.5,62,45.3,14,10.2,0,0,123,89.8
3,Derriford Hospital,102,101,13,12.9,72,71.3,16,15.8,1,1,85,84.2
3,Evelina London Children's Hospital,151,151,65,43,62,41.1,24,15.9,0,0,127,84.1
3,Homerton University Hospital,139,139,23,16.5,96,69.1,20,14.4,0,0,119,85.6
3,Hull Royal Infirmary,121,121,17,14,79,65.3,25,20.7,0,0,96,79.3
3,"Jessop Wing, Sheffield",161,161,82,50.9,64,39.8,15,9.3,0,0,146,90.7
3,John Radcliffe Hospital,166,166,28,16.9,95,57.2,43,25.9,0,0,123,74.1
3,King's College Hospital,94,90,25,27.8,52,57.8,13,14.4,4,4.3,77,85.6
3,"Lancashire Women and Newborn Centre, Burnley General Hospital",119,119,53,44.5,38,31.9,28,23.5,0,0,91,76.5
3,Leeds Neonatal Service (Leeds General Infirmary and St James's Hospital),157,156,27,17.3,79,50.6,50,32.1,1,0.6,106,67.9
3,Leicester Neonatal Service (Leicester Royal Infirmary and Leicester General Hospital),188,188,57,30.3,101,53.7,30,16,0,0,158,84
3,Liverpool Women's Hospital,194,194,89,45.9,62,32,43,22.2,0,0,151,77.8
3,Luton and Dunstable University Hospital,135,133,46,34.6,63,47.4,24,18,2,1.5,109,82
3,Medway Maritime Hospital,110,110,49,44.5,27,24.5,34,30.9,0,0,76,69.1
3,New Cross Hospital,140,140,48,34.3,59,42.1,33,23.6,0,0,107,76.4
3,"Ninewells Hospital, Dundee",95,94,34,36.2,46,48.9,14,14.9,1,1.1,80,85.1
3,Norfolk & Norwich University Hospital,126,126,43,34.1,66,52.4,17,13.5,0,0,109,86.5
3,Nottingham City Hospital,82,82,13,15.9,46,56.1,23,28,0,0,59,72
3,Nottingham University Hospital (QMC),65,65,13,20,40,61.5,12,18.5,0,0,53,81.5
3,Princess Anne Hospital,146,146,36,24.7,81,55.5,29,19.9,0,0,117,80.1
3,"Princess Royal Maternity Hospital, Glasgow",101,101,22,21.8,45,44.6,34,33.7,0,0,67,66.3
3,Queen Alexandra Hospital,161,161,54,33.5,76,47.2,31,19.3,0,0,130,80.7
3,Queen Charlotte and Chelsea Hospital,143,141,68,48.2,53,37.6,20,14.2,2,1.4,121,85.8
3,"Rosie Maternity Hospital, Addenbrookes",158,158,57,36.1,66,41.8,35,22.2,0,0,123,77.8
3,Royal Bolton Hospital,124,124,32,25.8,70,56.5,22,17.7,0,0,102,82.3
3,"Royal Hospital for Children, Glasgow ",146,145,34,23.4,79,54.5,32,22.1,1,0.7,113,77.9
3,Royal Oldham Hospital,130,130,53,40.8,56,43.1,21,16.2,0,0,109,83.8
3,Royal Preston Hospital,95,95,25,26.3,49,51.6,21,22.1,0,0,74,77.9
3,Royal Stoke University Hospital,107,106,29,27.4,55,51.9,22,20.8,1,0.9,84,79.2
3,Royal Sussex County Hospital,114,114,53,46.5,32,28.1,29,25.4,0,0,85,74.6
3,Royal Victoria Infirmary,145,144,36,25,70,48.6,38,26.4,1,0.7,106,73.6
3,"Simpson Centre for Reproductive Health, Edinburgh",166,166,74,44.6,67,40.4,25,15.1,0,0,141,84.9
3,Singleton Hospital,112,111,18,16.2,74,66.7,19,17.1,1,0.9,92,82.9
3,Southmead Hospital,134,134,70,52.2,51,38.1,13,9.7,0,0,121,90.3
3,St George's Hospital,154,154,32,20.8,99,64.3,23,14.9,0,0,131,85.1
3,"St Mary's Hospital, Manchester",214,214,49,22.9,111,51.9,54,25.2,0,0,160,74.8
3,St Michael's Hospital,86,86,24,27.9,51,59.3,11,12.8,0,0,75,87.2
3,St Peter's Hospital,104,104,46,44.2,41,39.4,17,16.3,0,0,87,83.7
3,Sunderland Royal Hospital,96,96,36,37.5,33,34.4,27,28.1,0,0,69,71.9
3,The Grange University Hospital,110,109,27,24.8,60,55,22,20.2,1,0.9,87,79.8
3,The James Cook University Hospital,140,139,57,41,50,36,32,23,1,0.7,107,77
3,The Royal London Hospital,139,138,18,13,92,66.7,28,20.3,1,0.7,110,79.7
3,University College London Hospital,114,109,34,31.2,59,54.1,16,14.7,5,4.4,93,85.3
3,University Hospital Coventry,195,195,36,18.5,110,56.4,49,25.1,0,0,146,74.9
3,University Hospital of Wales,85,85,22,25.9,51,60,12,14.1,0,0,73,85.9
3,"Victoria Hospital, Kirkcaldy",44,44,7,15.9,22,50,15,34.1,0,0,29,65.9
3,William Harvey Hospital,110,109,36,33,45,41.3,28,25.7,1,0.9,81,74.3
3,Wishaw General Hospital,85,85,27,31.8,27,31.8,31,36.5,0,0,54,63.5
TOTAL,TOTAL,11764,11718,3115,26.6,6213,53,2390,20.4,46,0.4,9328,79.6
