Level,Unit name ,Eligible ,cPVL Outcome,cPVL Alive,cPVL Died,Proportion,Missing
2,Whiston Hospital,30,30,0,0,0 (0%),0 (0%)
2,Whittington Hospital,29,29,1,0,1 (3.4%),0 (0%)
2,Worcestershire Royal Hospital,52,52,3,1,8 (15.4%),0 (0%)
2,Wythenshawe Hospital,28,25,0,0,1 (4%),3 (10.7%)
2,York District Hospital,30,30,1,0,1 (3.3%),0 (0%)
3,Aberdeen Maternity Hospital,46,46,1,0,7 (15.2%),0 (0%)
3,Arrowe Park Hospital,52,50,0,0,4 (8%),2 (3.8%)
3,Birmingham Heartlands Hospital,103,102,3,0,15 (14.7%),1 (1%)
3,Birmingham Women's Hospital,123,120,4,1,21 (17.5%),3 (2.4%)
3,Bradford Royal Infirmary,100,98,2,0,12 (12.2%),2 (2%)
3,Chelsea & Westminster Hospital,90,90,1,0,9 (10%),0 (0%)
3,Derriford Hospital,57,39,2,0,2 (5.1%),18 (31.6%)
3,Evelina London Children's Hospital,104,104,2,0,18 (17.3%),0 (0%)
3,Homerton University Hospital,67,64,0,0,7 (10.9%),3 (4.5%)
3,Hull Royal Infirmary,77,72,1,0,3 (4.2%),5 (6.5%)
3,"Jessop Wing, Sheffield",102,101,0,0,13 (12.9%),1 (1%)
3,John Radcliffe Hospital,123,123,1,1,15 (12.2%),0 (0%)
3,King's College Hospital,56,55,2,0,11 (20%),1 (1.8%)
3,"Lancashire Women and Newborn Centre, Burnley General Hospital",77,72,0,1,6 (8.3%),5 (6.5%)
3,Leeds Neonatal Service (Leeds General Infirmary and St James's Hospital),94,91,1,0,17 (18.7%),3 (3.2%)
3,Leicester Neonatal Service (Leicester Royal Infirmary and Leicester General Hospital),130,123,2,0,11 (8.9%),7 (5.4%)
3,Liverpool Women's Hospital,133,129,3,1,28 (21.7%),4 (3%)
3,Luton and Dunstable University Hospital,92,76,4,1,12 (15.8%),16 (17.4%)
3,Medway Maritime Hospital,68,67,3,0,8 (11.9%),1 (1.5%)
3,New Cross Hospital,84,84,0,0,9 (10.7%),0 (0%)
3,"Ninewells Hospital, Dundee",55,53,4,0,7 (13.2%),2 (3.6%)
3,Norfolk & Norwich University Hospital,98,95,2,0,11 (11.6%),3 (3.1%)
3,Nottingham City Hospital,62,53,3,1,8 (15.1%),9 (14.5%)
3,Nottingham University Hospital (QMC),58,46,3,0,6 (13%),12 (20.7%)
3,Princess Anne Hospital,91,87,4,0,7 (8%),4 (4.4%)
3,"Princess Royal Maternity Hospital, Glasgow",72,68,2,0,6 (8.8%),4 (5.6%)
3,Queen Alexandra Hospital,99,99,2,1,7 (7.1%),0 (0%)
3,Queen Charlotte and Chelsea Hospital,113,113,1,0,14 (12.4%),0 (0%)
3,"Rosie Maternity Hospital, Addenbrookes",82,79,3,0,11 (13.9%),3 (3.7%)
3,Royal Bolton Hospital,83,74,2,1,9 (12.2%),9 (10.8%)
3,"Royal Hospital for Children, Glasgow ",76,76,2,0,8 (10.5%),0 (0%)
3,Royal Oldham Hospital,80,51,0,0,7 (13.7%),29 (36.3%)
3,Royal Preston Hospital,47,46,0,0,3 (6.5%),1 (2.1%)
3,Royal Stoke University Hospital,80,76,2,1,12 (15.8%),4 (5%)
3,Royal Sussex County Hospital,70,70,4,0,10 (14.3%),0 (0%)
3,Royal Victoria Infirmary,98,64,4,0,4 (6.3%),34 (34.7%)
3,"Simpson Centre for Reproductive Health, Edinburgh",100,75,3,0,8 (10.7%),25 (25%)
3,Singleton Hospital,75,75,0,0,10 (13.3%),0 (0%)
3,Southmead Hospital,79,79,0,0,6 (7.6%),0 (0%)
3,St George's Hospital,95,58,2,0,3 (5.2%),37 (38.9%)
3,"St Mary's Hospital, Manchester",131,125,3,0,15 (12%),6 (4.6%)
3,St Michael's Hospital,45,45,0,0,1 (2.2%),0 (0%)
3,St Peter's Hospital,73,73,0,2,10 (13.7%),0 (0%)
3,Sunderland Royal Hospital,47,46,1,0,3 (6.5%),1 (2.1%)
3,The Grange University Hospital,56,56,5,0,9 (16.1%),0 (0%)
3,The James Cook University Hospital,80,79,1,0,5 (6.3%),1 (1.3%)
3,The Royal London Hospital,100,26,0,0,2 (7.7%),74 (74%)
3,University College London Hospital,80,21,0,0,0 (0%),59 (73.8%)
3,University Hospital Coventry,129,128,2,0,13 (10.2%),1 (.8%)
3,University Hospital of Wales,61,60,1,0,9 (15%),1 (1.6%)
3,"Victoria Hospital, Kirkcaldy",19,19,0,0,0 (0%),0 (0%)
3,William Harvey Hospital,58,58,1,0,7 (12.1%),0 (0%)
3,Wishaw General Hospital,62,62,4,1,13 (21%),0 (0%)
TOTAL,TOTAL,7362,6398,147,18,652 (10.2%),964 (13.1%)
